codigo,descripcion
000585,ALAMBRON COMERCIAL 12.0MM
000587,ALAMBRON SAE 1010  12.0MM
000590,ALAMBRON SAE 1008  12.0MM
000591,ALAMBRON SAE 1018  12.0MM
000700,-------------------------
000701,CLAVOS PUNTA PARIS/MADERA
000702,EN    CAJAS    DE    25KG
000710,"CLAVOS 1 1/2""  X   CAL.14"
000715,"CLAVOS 2""      X   CAL.12"
000720,CLAVOS 2 1/2   X   CAL.12
000728,"CLAVOS 2""      X   CAL.10"
000730,"CLAVOS 2 1/2""  X   CAL.10"
000740,"CLAVOS 3""      X   CAL.10"
000750,"CLAVOS 3""      X   CAL. 9"
000760,"CLAVOS 3 1/2""  X   CAL. 9"
000770,"CLAVOS 4""      X   CAL. 8"
000800,-------------------------
000801,CLAVOS PUNTA PARIS POR KG
000830,CLAVOS PUNTA PARIS POR KG
000870,CLAVOS PUNTA PARIS POR KG
001220,VARILLA LISA END.    4X6m
001222,VARILLA LISA END.  4.5X6m
001224,VARILLA LISA END.  4.7X6m
001225,VARILLA LISA END.  4.8X6m
001230,VARILLA LISA END.    5X6m
001235,VARILLA LISA END.  5.2X6m
001240,VARILLA LISA END.  5.5X6m
001245,VARILLA LISA END.    6X6m
001248,VARILLA LISA END.    7X6m
001250,VARILLA LISA END.    8X6m
001255,VARILLA LISA END.    9X6m
001260,VARILLA LISA END.  9.5X6m
001265,VARILLA LISA END.   10X6m
001270,VARILLA LISA END.   11X6m
001275,VARILLA LISA END.   12X6m
001303,BARR. HERR. R   5.50mmX6m
001307,BARR. HERR. R     11mmX6m
001308,BARR. HERR. R     10mmX6m
001309,BARR. HERR. R     12mmX6m
001310,BARR. HERR. R     16mmX6m
001311,BARR. HERR. R     20mmX6m
001312,BARR. HERR. R     25mmX6m
001405,BARR. HERR. C     9mmX 6m
001407,BARR. HERR. C     12mmX6m
001408,BARR. HERR. C     16mmX6m
001409,BARR. HERR. C     20mmX6m
001410,BARR. HERR. C     25mmX6m
001425,BARR. HERR. C     25mmX6m
001430,BARRA ACANALADA
001500,-------------------------
001550,TUBO CUAD.1/2 X 1/2 E.0.9
001560,TUBO CUAD.3/4 X 3/4 E.O.9
001580,TUBO CUAD.  1 X 1   E.0.9
001582,TUBO CUAD. 1X1 ESP. 1.10
001615,TUBO CUAD.  2 X 2   E.1.1
001626,TUBO RECT 1 1/2 X 1 E.1.1
001710,TUBO RECT.  2 X 1   E.0.9
001713,TUBO 2X1 E..90 X 5.60 mts
001715,TUBO RECT.  2 X 1   E.1.1
001720,TUBO RECT 2 1/2 X 1 E.1.1
001722,TUBO RECT.2 1/2X1 1/2 E11
001724,Tubo Rec.2 1/2X1 1/2 E1.4
001735,TUBO RECT.  3 X 1   E.1.1
001738,"TUBO RECT 3""X1 1/2"" E.1.1"
001740,"TUBO RECT. 3X1 1/2"" E.1.4"
001741,Tubo Rect.  3 X 2    E1.4
001742,"TUBO RECT. 4"" X 2""  E.1.4"
001743,"Tubo Rect.4X1 1/2""E.2.0X6"
001783,"TUBO REDONDO 3"" E. 1.4"
002101,ANGULOS  25X 25X 3mmX  6m
002201,ANGULOS  30X 30X 3mmX  6m
002305,ANGULOS  35X 35X 4mmX  6m
002310,ANGULOS  35X 35X 4MMX 12M
002315,ANGULOS  35X 35X 6mmX  6m
002405,ANGULOS  40X 40X 4mmX  6m
002410,ANGULOS  40X 40X 4MMX 12M
002415,ANGULOS  40X 40X 6mmX  6m
002420,ANGULOS  40X 40X 6MMX 12M
002490,ANGULOS  50X 50X 4mmX  6m
002491,ANGULOS 50X50X5 mm X   6m
002492,ANGULOS  50X 50X 6MMX  6M
002493,ANGULOS  50X 50X 7MM X 6M
002501,ANGULOS  50X 50X 4mmX 12m
002502,ANGULOS  50X 50X 5mmX 12m
002503,ANGULOS  50X 50X 7mmX 12m
002575,ANGULOS  65X 65X 5mmX  6m
002585,ANGULOS  65X 65X 6MMX  6M
002595,ANGULOS  65X 65X 5MMX  6M
002602,ANGULOS  65X 65X 5mmX 12m
002603,ANGULOS  65X 65X 6mmX 12m
002604,ANGULOS  65X 65X 7mmX 12m
002701,ANGULOS  75X 75X 7mmX 12m
002702,ANGULOS  75X 75X 8mmX 12m
002801,ANGULOS  90X 90X 7mmX 12m
002901,ANGULOS 100X100X 8mmX 12m
002902,ANGULOS 100X100X10mmX 12m
002903,ANGULOS 120X120X8mmX  12m
002904,ANGULOS 120X120X10mmX 12m
002906,ANGULOS 120X120X12mmX 12m
002908,ANGULOS 150X150X12mmX 12m
002915,ANGULOS 200X200X16MMX 12M
002916,ANG.A572 gr.50 120X8X12m
002917,ANG.A572 gr.50 120X10X12m
002918,ANG.A572 gr.50 120X12X12m
002919,ANG.A572 gr.50 200X16X12m
002920,ANG.A572 gr.50 200X20X12m
002921,ANG.A572 gr.50 150X10X12m
002922,ANG.A572 gr.50 150X12X12m
002923,Ang.A572 gr 50 150X15X12m
002942,ANGULOS  50X 50X 5MMX  6M
002950,ANGULOS  50X 50X 4mmX 10m
002960,ANGULOS  50X 50X 5mmX 10m
002970,ANGULOS  65X 65X 5mmX 10m
003001,SIGALDECK 0.70X734X4600mm
003002,SIGALDECK 0.70X734X5100mm
003003,SIGALDECK 0.70X734X5600mm
003004,SIGALDECK 0.70X734X6100mm
003005,SIGALDECK 0.70X900X   1cm
003006,SIGALDECK 0.70X900X4600mm
003007,SIGALDECK 0.70X900X5100mm
003008,SIGALDECK 0.70X900X5600mm
003009,SIGALDECK 0.70X900X6100mm
003010,SIGALDECK 0.90X734X   1cm
003011,SIGALDECK 0.90X734X4600mm
003012,SIGALDECK 0.90X734X5100mm
003013,SIGALDECK 0.90X734X5600mm
003014,SIGALDECK 0.90X734X6100mm
003015,SIGALDECK 0.90X900X   1cm
003016,SIGALDECK 0.90X900X4600mm
003017,SIGALDECK 0.90X900X5100mm
003018,SIGALDECK 0.90X900X5600mm
003019,SIGALDECK 0.90X900X6100mm
003020,SIGALDECK 0.70X734X6600mm
003021,SIGALDECK 0.70X734X7100mm
003022,SIGALDECK 0.70X734X7400mm
003023,SIGALDECK 0.70X734X8100mm
003200,SIGALDECK 1.20X734X6100MM
003201,SIGALDECK 0.70X900X2700MM
003202,SIGALDECK 0.70X900X2900MM
003203,SIGALDECK 0.70X900X3100MM
003204,SIGALDECK 0.70X900X3800MM
003205,SIGALDECK 0.70X900X4100mm
003207,SIGALDECK 0.70X900X6600mm
003208,SIGALDECK 0.90x900x4100mm
003209,SIGALDECK 0.90X900X6600MM
003214,SIGALDECK 1.20X900X6100mm
003296,CORPALOSA 0.70X915X3100mm
003297,CORPALOSA 0.70X915X3400mm
003298,CORPALOSA 0.70X915X3600mm
003300,CORPALOSA 0.70X915X4100mm
003302,CORPALOSA 0.70X915X4600mm
003303,CORPALOSA 0.70X915X4730mm
003304,CORPALOSA 0.70X915X5100mm
003305,CORPALOSA 0.70X915X4900mm
003306,CORPALOSA 0.70X915X5600mm
003307,CORPALOSA 0.70X915X5300mm
003308,CORPALOSA 0.70X915X6100mm
003310,CORPALOSA 0.70X915X6600mm
003315,CORPALOSA 0.90X915X4100mm
003317,CORPALOSA 0.90X915X5100mm
003319,CORPALOSA 0.90X915X6100mm
003501,SUPERFICIE DENTADA
003505,LOSACERO 0.45X787X    1CM
003510,LOSACERO 0.45X787X 4100MM
003515,LOSACERO 0.45X787X 4600MM
003520,LOSACERO 0.45X787X 5100MM
003525,LOSACERO 0.45X787X 5600MM
003530,LOSACERO 0.45X787X 6100MM
003535,LOSACERO 0.60X787X    1CM
003540,LOSACERO 0.60X787X 4100MM
003545,LOSACERO 0.60X787X 4600MM
003550,LOSACERO 0.60X787X 5100MM
003555,LOSACERO 0.60X787X 5600MM
003560,LOSACERO 0.60X787X 6100MM
003565,LOSACERO 0.70X787X    1CM
003570,LOSACERO  0.70X787X4100MM
003575,LOSACERO  0.70X787X4600MM
003580,LOSACERO  0.70X787X5100MM
003585,LOSACERO  0.70X787X5600MM
003590,LOSACERO  0.70X787X6100MM
003591,LOSACERO  0.70X787X6600MM
003592,LOSACERO  0.70X787X7100MM
003595,LOSACERO  0.90X787X   1CM
003600,LOSACERO  0.90X787X4100MM
003605,LOSACERO  0.90X787X4600MM
003610,LOSACERO  0.90X787X5100MM
003615,LOSACERO  0.90X787X5600MM
003620,LOSACERO  0.90X787X6100MM
003625,LOSACERO  1.20X787X   1CM
003630,LOSACERO  1.20X787X4100MM
003635,LOSACERO  1.20X787X4600MM
003640,LOSACERO  1.20X787X5100MM
003645,LOSACERO  1.20X787X5600MM
003650,LOSACERO  1.20X787X6100MM
003800,LAMINA CORRUGADA NORMAL G
003805,L.G.COR.NOR.0.20X800X1000
003810,L.G.COR.NOR.0.20X800X2440
003815,L.G.COR.NOR.0.20X810X3050
003816,L.G.COR.NOR.0.20X830X3050
003820,L.G.COR.NOR.0.20X810X3660
003821,L.G.COR.NOR.0.20X830X3660
003845,L.G.COR.NOR.0.27X800X1000
003850,L.G.COR.NOR.0.27X800X2440
003855,L.G.COR.NOR.0.27X800X3050
003860,L.G.COR.NOR.0.27X800X3660
003900,LAMINA CORRUGADA ACERAL G
003905,L.G.COR.ACE.0.27X865X1000
003910,L.G.COR.NOR.0.27X865X2440
003915,L.G.COR.ACE.0.27X865X3050
003920,L.G.COR.ACE.0.27X865X3660
003945,L.G.COR.ACE.0.35X865X1000
003950,L.G.COR.ACE.0.35X865X2440
003955,L.G.COR.ACE.0.35X865X3050
003960,L.G.COR.ACE.0.35X865X3660
003985,L.G.COR.ACE.0.45X865X1000
003990,L.G.COR.ACE.0.45X865X4100
003995,L.G.COR.ACE.0.45X865X4600
004005,L.G.COR.ACE.0.45X865X6100
004030,L.G.COR.ACE.0.60X865X1000
004035,L.G.COR.ACE.0.60X865X4100
004040,L.G.COR.ACE.0.60X865X4600
004045,L.G.COR.ACE.0.60X865X5100
004050,L.G.COR.ACE.0.60X865X6100
004400,LAM.GALVINIZADA LISA G-60
004412,L.G.LISA.0.45X1200X2440mm
004416,L.G.LISA.0.60X1200X2440mm
004420,L.G.LISA.0.70X1200X2440mm
004424,L.G.LISA.0.90X1200X2440mm
004426,L.G.LISA 1.20X1000X2000MM
004428,L.G.LISA.1.20X1200X2440mm
004429,L.G.LISA 1.50X1200X2440MM
004430,L.G.LISA 1.50X1200X2440mm
004432,L.G.LISA 1.90X1200X2440mm
004600,LF.A366 0.45 X1200X2400mm
004602,LF.A366 0.45 X1000X2000mm
004618,LF.A366 0.60 X1000X2000mm
004620,LF.A366 0.60 X1200X2400mm
004625,LF.A366 0.70 X1000X2000mm
